,CPU,throughput
261,0.4,2160.48
262,0.4,2164.06
263,0.4,2182.73
264,0.4,2162.83
265,0.4,2177.09
266,0.4,2149.16
267,0.4,2167.31
268,0.4,2169.98
269,0.4,2155.83
270,0.4,2156.1
271,0.4,2184.45
272,0.4,2170.54
273,0.4,2201.99
274,0.4,2159.55
275,0.4,2159.08
276,0.4,2198.58
277,0.4,2158.34
278,0.4,2186.04
279,0.4,2135.84
280,0.4,2182.11
281,0.4,2152.23
282,0.4,2206.05
283,0.4,2172.31
284,0.4,2164.23
285,0.4,2149.73
286,0.4,2190.66
287,0.4,2191.14
288,0.4,2210.11
289,0.4,2213.77
290,0.4,2178.03
291,0.4,2190.74
292,0.4,2172.44
293,0.4,2170.52
294,0.4,2191.24
295,0.4,2187.58
296,0.4,2155.16
297,0.4,2172.96
298,0.4,2151.71
299,0.4,2182.55
300,0.4,2212.69
301,0.4,2193.31
302,0.4,2208.97
303,0.4,2209.72
304,0.4,2094.68
305,0.4,2175.59
306,0.4,2216.87
307,0.4,2202.59
308,0.4,2228.55
309,0.4,2225.85
310,0.4,2158.64
311,0.4,2177.22
312,0.4,2180.77
313,0.4,2168.92
314,0.4,2149.02
315,0.4,2162.01
316,0.4,2180.06
317,0.4,2213.93
318,0.4,2236.05
319,0.4,2218.62
320,0.5,2208.3
321,0.5,2178.71
322,0.5,2215.59
323,0.5,2209.97
324,0.5,2164.64
325,0.5,2233.23
326,0.5,2194.89
327,0.5,2193.67
328,0.5,2185.85
329,0.5,2238.58
330,0.5,2212.02
331,0.5,2200.55
332,0.5,2160.01
333,0.5,2203.59
334,0.5,2161.63
335,0.5,2155.92
336,0.5,2202.13
337,0.5,2162.86
338,0.5,2214.98
339,0.5,2206.94
340,0.5,2166.16
341,0.5,2187.36
342,0.5,2190.61
343,0.5,2220.32
344,0.5,2177.48
345,0.5,2230.87
346,0.5,2201.17
347,0.5,2194.91
348,0.5,2199.9
349,0.5,2159.92
350,0.5,2206.42
351,0.5,2198.57
352,0.5,2234.19
353,0.5,2142.17
354,0.5,2163.46
355,0.5,2195.06
356,0.5,2172.14
357,0.5,2194.83
358,0.5,2192.92
359,0.5,2218.01
360,0.5,2191.94
361,0.5,2212.19
