,CPU,throughput
319,0.4,814.03
320,0.5,1195.71
321,0.5,1149.47
322,0.5,1160.98
323,0.5,1169.7
324,0.5,1208.08
325,0.5,1204.21
326,0.5,1187.2
327,0.5,1185.41
328,0.5,1252.34
329,0.5,1178.54
330,0.5,1242.69
331,0.5,1172.17
332,0.5,1175.95
333,0.5,1200.94
334,0.5,1189.19
335,0.5,1225.35
336,0.5,1171.14
337,0.5,1249.75
338,0.5,1224.94
339,0.5,1192.57
340,0.5,1184.35
341,0.5,1225.66
342,0.5,1184.23
343,0.5,1190.19
344,0.5,1182.82
345,0.5,1219.45
346,0.5,1259.73
347,0.5,1203.77
348,0.5,1245.06
349,0.5,1181.78
350,0.5,1219.38
351,0.5,1209.69
352,0.5,1231.18
353,0.5,1209.6
354,0.5,1162.55
355,0.5,1162.5
356,0.5,1151.83
357,0.5,1245.58
358,0.5,1207.94
359,0.5,1184.82
360,0.5,1219.83
361,0.5,1180.69
362,0.5,1185.38
363,0.5,1197.21
364,0.5,1190.93
365,0.5,1226.33
366,0.5,1209.61
367,0.5,1217.7
368,0.5,1215.46
369,0.5,1200.94
370,0.5,1193.19
371,0.5,1152.25
372,0.5,1205.08
373,0.5,1228.75
374,0.5,1213.67
375,0.5,1189.28
376,0.5,1267.27
377,0.5,1201.13
378,0.5,1206.66
379,0.5,1174.16
380,0.5,1183.36
381,0.5,1203.59
382,0.5,1255.89
383,0.5,1255.64
384,0.5,1189.72
385,0.5,1203.87
386,0.5,1205.8
387,0.5,1224.53
388,0.5,1223.6
389,0.5,1242.62
390,0.5,1210.08
391,0.5,1204.34
392,0.5,1179.92
393,0.5,1184.53
394,0.5,1224.06
395,0.5,1248.54
396,0.5,1203.71
397,0.5,1239.2
398,0.5,1218.7
399,0.5,1211.2
400,0.6,1471.35
401,0.6,1468.06
402,0.6,1461.56
403,0.6,1481.82
404,0.6,1475.64
405,0.6,1489.11
406,0.6,1482.8
407,0.6,1461.93
408,0.6,1458.03
409,0.6,1468.75
410,0.6,1468.01
411,0.6,1468.62
412,0.6,1466.58
413,0.6,1451.27
414,0.6,1457.12
415,0.6,1486.94
416,0.6,1468.15
417,0.6,1476.07
418,0.6,1477.93
419,0.6,1459.87
420,0.6,1464.86
421,0.6,1480.21
422,0.6,1475.96
423,0.6,1482.01
424,0.6,1485.77
425,0.6,1476.43
426,0.6,1464.06
427,0.6,1479.79
428,0.6,1481.48
429,0.6,1475.89
430,0.6,1485.35
431,0.6,1466.82
432,0.6,1470.97
433,0.6,1454.14
434,0.6,1468.89
435,0.6,1463.54
436,0.6,1464.89
437,0.6,1458.57
438,0.6,1456.76
439,0.6,1482.87
440,0.6,1479.32
441,0.6,1481.19
442,0.6,1465.74
443,0.6,1460.77
444,0.6,1486.63
445,0.6,1474.71
446,0.6,1474.72
447,0.6,1477.81
448,0.6,1479.59
449,0.6,1476.0
450,0.6,1477.4
451,0.6,1469.3
452,0.6,1469.43
453,0.6,1482.67
454,0.6,1479.42
455,0.6,1464.75
456,0.6,1483.52
457,0.6,1490.34
458,0.6,1482.09
459,0.6,1470.26
460,0.6,1467.55
461,0.6,1480.51
462,0.6,1462.14
463,0.6,1474.25
464,0.6,1460.27
465,0.6,1476.26
466,0.6,1488.81
467,0.6,1474.87
468,0.6,1451.17
469,0.6,1485.43
470,0.6,1460.26
471,0.6,1480.75
472,0.6,1468.82
473,0.6,1472.83
474,0.6,1484.13
475,0.6,1480.32
476,0.6,1472.26
477,0.6,1485.83
478,0.6,1469.09
479,0.6,1471.27
480,0.7,1480.06
481,0.7,1468.4
482,0.7,1468.47
483,0.7,1456.74
484,0.7,1463.78
485,0.7,1456.89
486,0.7,1447.57
487,0.7,1460.67
488,0.7,1469.48
489,0.7,1466.92
490,0.7,1474.97
491,0.7,1459.62
492,0.7,1468.39
493,0.7,1471.29
494,0.7,1475.16
495,0.7,1475.16
496,0.7,1453.69
497,0.7,1461.57
498,0.7,1477.33
499,0.7,1459.65
500,0.7,1459.61
501,0.7,1467.91
502,0.7,1480.13
503,0.7,1473.49
504,0.7,1474.24
505,0.7,1464.44
506,0.7,1488.2
507,0.7,1457.96
508,0.7,1454.97
509,0.7,1479.2
510,0.7,1458.68
511,0.7,1463.08
512,0.7,1464.62
513,0.7,1474.91
514,0.7,1479.3
515,0.7,1463.51
516,0.7,1475.75
517,0.7,1461.06
518,0.7,1490.88
519,0.7,1477.7
520,0.7,1470.16
521,0.7,1490.43
522,0.7,1482.12
523,0.7,1484.09
524,0.7,1454.24
525,0.7,1456.22
526,0.7,1469.56
527,0.7,1449.18
528,0.7,1470.52
529,0.7,1480.77
530,0.7,1480.08
531,0.7,1464.73
532,0.7,1470.64
533,0.7,1453.25
