,CPU,throughput
253,0.4,299352.68
254,0.4,289294.45
255,0.4,294123.01
256,0.4,308786.02
257,0.4,309133.91
258,0.4,293121.02
259,0.4,298856.15
260,0.4,278612.0
261,0.4,298618.34
262,0.4,298230.0
263,0.4,312958.33
264,0.4,302925.1
265,0.4,304478.87
266,0.4,312054.5
267,0.4,311563.28
268,0.4,308474.32
269,0.4,301838.15
270,0.4,273560.43
271,0.4,295640.69
272,0.4,306084.94
273,0.4,312288.78
274,0.4,301773.8
275,0.4,287133.68
276,0.4,294506.81
277,0.4,269193.99
278,0.4,311443.46
279,0.4,284355.14
280,0.4,304912.79
281,0.4,299862.24
282,0.4,297855.54
283,0.4,303910.09
284,0.4,308801.01
285,0.4,297418.36
286,0.4,308068.09
287,0.4,308616.9
288,0.4,302582.3
289,0.4,313510.18
290,0.4,297773.16
291,0.4,302701.77
292,0.4,307347.57
293,0.4,302075.0
294,0.4,272610.32
295,0.4,296393.81
296,0.4,305214.9
297,0.4,299500.52
298,0.4,294361.9
299,0.4,275792.39
300,0.4,311902.91
301,0.4,292867.14
302,0.4,287568.98
303,0.4,308286.8
304,0.4,313118.32
305,0.4,287529.76
306,0.4,313184.11
307,0.4,303138.48
308,0.4,292662.01
309,0.4,307868.1
310,0.4,301378.65
311,0.4,303409.79
312,0.4,308062.0
313,0.4,297592.83
314,0.4,313117.56
315,0.4,312478.11
316,0.4,297602.05
317,0.4,302270.1
318,0.4,295796.58
319,0.4,306026.0
320,0.5,321159.01
321,0.5,320008.3
322,0.5,320745.37
323,0.5,330718.67
324,0.5,331486.84
325,0.5,325721.96
326,0.5,324887.32
327,0.5,320910.48
328,0.5,315210.64
329,0.5,317998.25
330,0.5,317334.38
331,0.5,322959.24
332,0.5,321726.15
333,0.5,326790.48
334,0.5,316780.61
335,0.5,316925.47
336,0.5,311887.23
337,0.5,323009.61
338,0.5,312107.15
339,0.5,323717.76
340,0.5,314192.22
341,0.5,323688.15
342,0.5,324053.71
343,0.5,319349.06
344,0.5,315503.65
345,0.5,315038.11
346,0.5,330552.74
347,0.5,314614.47
348,0.5,323788.34
349,0.5,313701.27
350,0.5,320213.13
351,0.5,314750.38
352,0.5,325521.1
353,0.5,314604.46
354,0.5,324714.33
355,0.5,324463.79
356,0.5,317981.61
357,0.5,317435.7
358,0.5,310774.64
359,0.5,315863.39
360,0.5,322395.34
361,0.5,313884.56
362,0.5,313778.18
363,0.5,319591.84
364,0.5,318493.19
365,0.5,318372.42
366,0.5,313146.99
367,0.5,313774.65
368,0.5,314603.74
369,0.5,319680.27
370,0.5,325467.26
371,0.5,320377.39
372,0.5,319000.48
373,0.5,318238.26
374,0.5,313316.99
375,0.5,319164.63
376,0.5,314486.29
377,0.5,314498.53
378,0.5,317984.21
379,0.5,317608.66
380,0.5,316368.48
381,0.5,335441.31
382,0.5,318408.23
383,0.5,327248.41
384,0.5,321785.32
385,0.5,311277.57
386,0.5,312724.17
387,0.5,317041.32
388,0.5,321309.79
389,0.5,320677.81
390,0.5,321126.47
391,0.5,321920.23
392,0.5,332090.14
393,0.5,316706.13
394,0.5,316588.56
395,0.5,316870.49
396,0.5,318244.96
397,0.5,313271.97
398,0.5,318245.34
399,0.5,318516.88
400,0.6,425101.31
401,0.6,420049.35
402,0.6,408952.49
403,0.6,417397.51
404,0.6,434691.85
405,0.6,413456.42
406,0.6,400151.82
407,0.6,416771.22
408,0.6,456143.68
409,0.6,414869.73
410,0.6,424151.08
411,0.6,403894.47
412,0.6,418376.82
413,0.6,418816.33
414,0.6,417482.78
415,0.6,416572.22
416,0.6,405862.63
417,0.6,404987.96
418,0.6,399832.86
419,0.6,407289.29
420,0.6,423176.0
421,0.6,411298.41
422,0.6,414208.85
423,0.6,422333.45
424,0.6,426927.58
425,0.6,416061.36
426,0.6,418458.98
427,0.6,410243.68
428,0.6,415719.6
429,0.6,426291.56
430,0.6,424906.44
431,0.6,412163.94
432,0.6,402145.81
433,0.6,417981.65
434,0.6,412580.84
435,0.6,408055.36
436,0.6,414017.32
437,0.6,425559.91
438,0.6,432683.58
439,0.6,411989.48
440,0.6,410235.57
441,0.6,424477.46
442,0.6,414127.37
443,0.6,424803.29
444,0.6,419638.29
445,0.6,422577.26
446,0.6,412263.84
447,0.6,424061.17
448,0.6,413692.39
449,0.6,422925.37
450,0.6,413838.29
451,0.6,433661.57
452,0.6,409868.07
453,0.6,408004.72
454,0.6,412434.75
455,0.6,403255.38
456,0.6,416985.75
457,0.6,422905.96
458,0.6,419673.6
459,0.6,416410.69
460,0.6,406484.7
461,0.6,414707.49
462,0.6,423011.57
