,CPU,MEM,throughput
187,1.0,64.0,2274.54
188,1.0,64.0,2219.08
189,1.0,64.0,2258.17
190,1.0,64.0,2257.79
191,1.0,64.0,2292.52
192,1.0,64.0,2223.72
193,1.0,64.0,2229.18
194,1.0,64.0,2210.18
195,1.0,64.0,2259.11
196,1.0,64.0,2249.34
197,1.0,64.0,2241.55
198,1.0,64.0,2226.36
199,1.0,64.0,2248.31
