,CPU,MEM,throughput
191,0.2,64.0,272512.49
192,0.2,64.0,271531.52
193,0.2,64.0,277896.37
194,0.2,64.0,273503.93
195,0.2,64.0,278467.44
196,0.2,64.0,273591.5
197,0.2,64.0,274316.27
198,0.2,64.0,269305.65
199,0.2,64.0,273265.69
200,0.2,128.0,1086.78
201,0.2,128.0,1060.13
202,0.2,128.0,1070.42
203,0.2,128.0,1068.28
204,0.2,128.0,1077.89
205,0.2,128.0,1079.08
206,0.2,128.0,1079.61
207,0.2,128.0,1080.29
208,0.2,128.0,1083.09
209,0.2,128.0,1088.15
210,0.2,128.0,1074.02
211,0.2,128.0,1074.44
212,0.2,128.0,1058.67
213,0.2,128.0,1050.63
214,0.2,128.0,1074.6
215,0.2,128.0,1044.31
216,0.2,128.0,1063.67
217,0.2,128.0,1061.16
218,0.2,128.0,1084.82
219,0.2,128.0,1083.13
220,0.2,128.0,278908.17
221,0.2,128.0,270380.94
222,0.2,128.0,270851.29
223,0.2,128.0,274522.79
224,0.2,128.0,270544.21
225,0.2,128.0,274368.23
226,0.2,128.0,274230.72
227,0.2,128.0,274805.98
228,0.2,128.0,273676.35
229,0.2,128.0,270644.3
230,0.2,128.0,270288.92
231,0.2,128.0,274603.46
232,0.2,128.0,270876.91
233,0.2,128.0,275093.86
234,0.2,128.0,274233.14
235,0.2,128.0,274058.43
236,0.2,128.0,269453.84
237,0.2,128.0,270764.48
238,0.2,128.0,271208.02
239,0.2,128.0,266172.31
240,0.2,256.0,1051.06
241,0.2,256.0,1073.2
242,0.2,256.0,1080.76
243,0.2,256.0,1067.4
244,0.2,256.0,1082.9
245,0.2,256.0,1055.62
246,0.2,256.0,1060.38
247,0.2,256.0,1057.14
248,0.2,256.0,1036.08
249,0.2,256.0,1057.65
250,0.2,256.0,1078.23
251,0.2,256.0,1070.45
252,0.2,256.0,1077.09
253,0.2,256.0,1068.92
254,0.2,256.0,1066.64
255,0.2,256.0,1076.28
256,0.2,256.0,1050.37
257,0.2,256.0,1062.83
258,0.2,256.0,1069.96
259,0.2,256.0,1088.45
260,0.2,256.0,273573.01
261,0.2,256.0,273080.69
262,0.2,256.0,275189.32
263,0.2,256.0,270159.18
264,0.2,256.0,270255.77
265,0.2,256.0,269413.62
266,0.2,256.0,274075.1
267,0.2,256.0,274203.37
268,0.2,256.0,270861.57
269,0.2,256.0,270864.35
270,0.2,256.0,271006.44
271,0.2,256.0,275742.01
272,0.2,256.0,270644.43
273,0.2,256.0,275154.99
274,0.2,256.0,270942.92
275,0.2,256.0,271718.71
276,0.2,256.0,270401.19
277,0.2,256.0,270189.81
278,0.2,256.0,270778.62
279,0.2,256.0,270081.15
280,0.2,512.0,1077.29
281,0.2,512.0,1088.33
282,0.2,512.0,1079.21
283,0.2,512.0,1068.0
284,0.2,512.0,1069.92
285,0.2,512.0,1070.42
286,0.2,512.0,1059.21
287,0.2,512.0,1080.87
288,0.2,512.0,1064.34
289,0.2,512.0,1073.62
290,0.2,512.0,1067.61
291,0.2,512.0,1056.97
292,0.2,512.0,1082.18
293,0.2,512.0,1070.24
294,0.2,512.0,1080.74
295,0.2,512.0,1069.4
296,0.2,512.0,1071.19
297,0.2,512.0,1055.86
298,0.2,512.0,1072.64
299,0.2,512.0,1062.08
300,0.2,512.0,265573.63
301,0.2,512.0,271070.22
302,0.2,512.0,274650.35
303,0.2,512.0,270322.07
304,0.2,512.0,272791.01
305,0.2,512.0,278431.73
306,0.2,512.0,277852.99
307,0.2,512.0,273018.59
308,0.2,512.0,271629.9
309,0.2,512.0,271200.5
310,0.2,512.0,271006.74
311,0.2,512.0,270416.64
312,0.2,512.0,273841.86
313,0.2,512.0,265020.25
314,0.2,512.0,272945.88
315,0.2,512.0,273993.04
316,0.2,512.0,270518.78
317,0.2,512.0,273942.11
318,0.2,512.0,273730.04
319,0.2,512.0,278088.38
320,0.3,64.0,1650.19
321,0.3,64.0,1629.04
322,0.3,64.0,1667.38
323,0.3,64.0,1647.9
324,0.3,64.0,1664.17
325,0.3,64.0,1636.5
326,0.3,64.0,1636.06
327,0.3,64.0,1626.12
328,0.3,64.0,1647.53
329,0.3,64.0,1645.81
330,0.3,64.0,1631.57
331,0.3,64.0,1641.66
332,0.3,64.0,1652.13
333,0.3,64.0,1627.05
334,0.3,64.0,1629.0
335,0.3,64.0,1615.07
336,0.3,64.0,1648.37
337,0.3,64.0,1643.84
338,0.3,64.0,1618.17
339,0.3,64.0,1641.43
340,0.3,64.0,433100.92
341,0.3,64.0,432752.83
342,0.3,64.0,429209.15
343,0.3,64.0,428729.41
344,0.3,64.0,424042.6
345,0.3,64.0,440145.49
346,0.3,64.0,434713.44
347,0.3,64.0,434250.0
348,0.3,64.0,434791.75
349,0.3,64.0,430063.41
350,0.3,64.0,434664.3
351,0.3,64.0,433601.48
352,0.3,64.0,434702.83
353,0.3,64.0,435243.25
354,0.3,64.0,433827.97
355,0.3,64.0,428935.62
356,0.3,64.0,429918.07
357,0.3,64.0,435006.37
358,0.3,64.0,429526.46
359,0.3,64.0,434405.98
360,0.3,128.0,1621.28
361,0.3,128.0,1646.96
362,0.3,128.0,1647.24
363,0.3,128.0,1652.96
364,0.3,128.0,1641.52
365,0.3,128.0,1636.49
366,0.3,128.0,1644.56
367,0.3,128.0,1652.35
368,0.3,128.0,1683.32
369,0.3,128.0,1660.85
370,0.3,128.0,1650.29
371,0.3,128.0,1624.32
372,0.3,128.0,1651.24
373,0.3,128.0,1663.47
374,0.3,128.0,1595.57
375,0.3,128.0,1615.73
376,0.3,128.0,1643.56
377,0.3,128.0,1643.28
378,0.3,128.0,1636.93
379,0.3,128.0,1673.57
380,0.3,128.0,428890.6
381,0.3,128.0,439702.65
382,0.3,128.0,429874.76
383,0.3,128.0,429620.13
384,0.3,128.0,434167.22
385,0.3,128.0,434636.97
386,0.3,128.0,434540.99
387,0.3,128.0,434983.02
388,0.3,128.0,429088.94
389,0.3,128.0,424664.48
390,0.3,128.0,439046.97
391,0.3,128.0,430057.54
392,0.3,128.0,429232.62
393,0.3,128.0,430034.71
394,0.3,128.0,434242.24
395,0.3,128.0,434247.97
396,0.3,128.0,428309.93
397,0.3,128.0,434119.47
398,0.3,128.0,434335.97
399,0.3,128.0,434005.03
400,0.3,256.0,1652.16
401,0.3,256.0,1644.75
402,0.3,256.0,1644.95
403,0.3,256.0,1640.29
404,0.3,256.0,1630.56
405,0.3,256.0,1622.09
406,0.3,256.0,1659.01
407,0.3,256.0,1661.56
408,0.3,256.0,1636.4
409,0.3,256.0,1655.07
410,0.3,256.0,1654.79
411,0.3,256.0,1645.44
412,0.3,256.0,1654.59
413,0.3,256.0,1641.85
414,0.3,256.0,1655.55
415,0.3,256.0,1624.16
416,0.3,256.0,1654.51
417,0.3,256.0,1646.31
418,0.3,256.0,1657.63
419,0.3,256.0,1647.0
420,0.3,256.0,436066.81
421,0.3,256.0,434501.41
422,0.3,256.0,434883.91
423,0.3,256.0,437758.88
424,0.3,256.0,438574.96
425,0.3,256.0,438745.99
426,0.3,256.0,434447.95
427,0.3,256.0,438324.4
428,0.3,256.0,434857.75
429,0.3,256.0,435226.99
430,0.3,256.0,434450.22
431,0.3,256.0,433775.13
432,0.3,256.0,429941.27
433,0.3,256.0,435524.28
434,0.3,256.0,434127.22
435,0.3,256.0,437941.96
436,0.3,256.0,438426.51
437,0.3,256.0,434266.04
438,0.3,256.0,430112.11
439,0.3,256.0,433849.28
440,0.3,512.0,1647.64
441,0.3,512.0,1675.65
442,0.3,512.0,1654.97
443,0.3,512.0,1660.3
444,0.3,512.0,1640.35
445,0.3,512.0,1638.18
446,0.3,512.0,1642.95
447,0.3,512.0,1708.68
448,0.3,512.0,1686.26
449,0.3,512.0,1646.05
450,0.3,512.0,1686.09
451,0.3,512.0,1660.93
452,0.3,512.0,1651.61
453,0.3,512.0,1636.75
454,0.3,512.0,1656.19
455,0.3,512.0,1634.37
456,0.3,512.0,1657.3
457,0.3,512.0,1639.57
458,0.3,512.0,1672.59
459,0.3,512.0,1606.91
460,0.3,512.0,430351.61
461,0.3,512.0,431507.06
462,0.3,512.0,434779.18
463,0.3,512.0,429181.26
464,0.3,512.0,435907.32
465,0.3,512.0,436585.91
466,0.3,512.0,435319.92
467,0.3,512.0,434682.45
468,0.3,512.0,436582.11
469,0.3,512.0,434221.37
470,0.3,512.0,439406.91
471,0.3,512.0,434680.65
472,0.3,512.0,434451.77
473,0.3,512.0,434905.33
474,0.3,512.0,433948.42
475,0.3,512.0,440427.85
476,0.3,512.0,435180.32
477,0.3,512.0,434220.95
478,0.3,512.0,429707.44
479,0.3,512.0,438393.23
480,0.4,64.0,2168.31
481,0.4,64.0,2179.07
482,0.4,64.0,2138.38
483,0.4,64.0,2182.74
484,0.4,64.0,2215.7
485,0.4,64.0,2210.33
486,0.4,64.0,2149.97
487,0.4,64.0,2139.59
488,0.4,64.0,2163.81
489,0.4,64.0,2161.38
490,0.4,64.0,2176.38
491,0.4,64.0,2193.06
492,0.4,64.0,2188.56
493,0.4,64.0,2176.45
494,0.4,64.0,2137.77
495,0.4,64.0,2186.18
496,0.4,64.0,2131.69
497,0.4,64.0,2186.33
498,0.4,64.0,2185.98
499,0.4,64.0,2180.39
500,0.4,64.0,593331.46
501,0.4,64.0,602301.01
502,0.4,64.0,601814.69
503,0.4,64.0,599008.95
504,0.4,64.0,604338.24
505,0.4,64.0,603590.75
506,0.4,64.0,593988.64
507,0.4,64.0,590669.93
508,0.4,64.0,593377.84
509,0.4,64.0,595851.45
510,0.4,64.0,599823.83
511,0.4,64.0,600411.46
512,0.4,64.0,594650.07
513,0.4,64.0,590350.96
514,0.4,64.0,604351.58
515,0.4,64.0,596313.26
516,0.4,64.0,594780.2
517,0.4,64.0,596565.45
518,0.4,64.0,599641.84
519,0.4,64.0,593308.63
520,0.4,128.0,2120.59
521,0.4,128.0,2160.48
522,0.4,128.0,2164.06
523,0.4,128.0,2182.73
524,0.4,128.0,2162.83
525,0.4,128.0,2177.09
526,0.4,128.0,2149.16
527,0.4,128.0,2167.31
528,0.4,128.0,2169.98
529,0.4,128.0,2155.83
530,0.4,128.0,2156.1
531,0.4,128.0,2184.45
532,0.4,128.0,2170.54
533,0.4,128.0,2201.99
