topology,vnf1cpu,vnf2cpu,vnf3cpu,throughput
nx-sc-sq,0.16,0.64,0.16,139410.03
nx-sc-sq,0.32,0.16,0.16,71464.17
nx-sc-sq,0.64,1,0.16,182229.53
nx-sc-sq,0.16,0.16,0.32,72142.7
nx-sc-sq,0.32,0.64,0.64,284804.23
nx-sc-sq,1,0.16,1,71289.4
nx-sc-sq,0.16,0.32,0.64,141321.17
nx-sc-sq,1,1,0.64,461766.39
nx-sc-sq,1,0.16,0.64,71747.24
nx-sc-sq,0.64,0.32,0.16,162606.93
nx-sc-sq,0.16,0.32,0.32,134509.17
nx-sc-sq,0.32,0.32,0.16,157053.61
nx-sc-sq,0.32,1,1,287360.99
nx-sc-sq,0.16,0.32,0.16,146143.47
nx-sc-sq,1,0.16,0.16,71725.19
nx-sc-sq,0.32,1,1,270698.01
nx-sc-sq,1,0.16,0.32,69608.16
nx-sc-sq,0.64,1,0.64,438309.6
nx-sc-sq,1,0.32,0.32,166478.86
nx-sc-sq,0.16,0.32,0.32,132583.76
nx-sc-sq,0.16,1,0.16,130538
nx-sc-sq,0.16,0.16,1,73037.96
nx-sc-sq,0.16,1,0.64,140264.95
nx-sc-sq,0.64,0.16,1,71733.28
nx-sc-sq,0.32,0.64,0.64,288932.71
nx-sc-sq,0.16,0.16,0.32,74085.03
nx-sc-sq,0.32,0.64,1,280764.42
nx-sc-sq,0.16,0.16,0.16,71223.8
nx-sc-sq,0.64,1,0.32,400438.47
nx-sc-sq,0.16,0.32,1,124112.76
nx-sc-sq,0.16,0.32,1,127511.61
nx-sc-sq,1,0.64,0.64,343913.87
nx-sc-sq,0.32,0.32,0.32,161606.25
nx-sc-sq,0.32,0.64,0.64,213311.09
nx-sc-sq,0.64,0.64,1,340528.52
nx-sc-sq,0.32,0.32,1,158637.19
nx-sc-sq,0.64,1,0.32,401534.87
nx-sc-sq,0.32,0.32,0.16,161869.75
nx-sc-sq,0.16,0.32,0.32,136245.61
nx-sc-sq,0.32,1,0.64,285737.12
nx-sc-sq,0.32,0.16,1,74487
nx-sc-sq,0.32,0.16,0.16,71842.8
nx-sc-sq,1,0.32,0.16,163092.62
nx-sc-sq,0.16,0.16,1,75233.79
nx-sc-sq,0.64,1,1,432645.16
nx-sc-sq,1,0.64,0.16,187351.69
nx-sc-sq,1,0.64,1,332749.51
nx-sc-sq,0.32,0.64,1,288254.54
nx-sc-sq,0.64,0.32,0.16,158935.8
nx-sc-sq,0.64,0.16,0.64,69588.18
nx-sc-sq,1,0.32,1,158637.32
nx-sc-sq,0.32,0.64,0.64,256630.99
nx-sc-sq,1,0.16,0.16,72348.47
nx-sc-sq,1,0.16,1,72529.24
nx-sc-sq,0.64,0.64,0.16,181943.34
nx-sc-sq,1,0.16,0.16,74612.71
nx-sc-sq,0.64,0.64,0.32,336729.81
nx-sc-sq,0.16,0.16,0.16,71208.89
nx-sc-sq,0.16,0.16,0.64,72431.06
