topology,vnf1cpu,vnf2cpu,vnf3cpu,throughput
nx-sc-sq,1,0.32,0.32,157478.21
nx-sc-sq,1,1,1,457362.45
nx-sc-sq,0.16,0.64,0.32,136015.72
nx-sc-sq,1,0.64,0.64,345524.69
nx-sc-sq,0.16,1,0.32,134066.77
nx-sc-sq,0.64,0.32,0.32,162341.64
nx-sc-sq,0.64,0.64,0.64,357531.84
nx-sc-sq,0.16,0.32,0.16,130511.46
nx-sc-sq,0.16,0.64,0.16,138508.43
nx-sc-sq,0.16,0.32,0.16,129927.9
nx-sc-sq,1,1,0.64,456209.29
nx-sc-sq,0.32,0.16,0.32,69707.15
nx-sc-sq,1,0.64,0.64,325663.78
nx-sc-sq,0.16,0.64,0.16,138024.97
nx-sc-sq,0.64,1,0.32,362197.02
nx-sc-sq,1,0.32,1,160816.79
nx-sc-sq,0.16,0.64,0.32,132361.29
nx-sc-sq,0.16,0.16,0.64,74604.24
nx-sc-sq,0.64,0.32,0.64,163086.58
nx-sc-sq,0.64,0.16,1,73348.16
nx-sc-sq,0.16,0.32,1,133403.87
nx-sc-sq,1,0.16,0.64,72136.88
nx-sc-sq,1,0.32,0.64,163076.86
nx-sc-sq,0.64,0.64,1,333000.98
nx-sc-sq,0.32,0.32,1,159884.13
nx-sc-sq,0.32,1,0.64,284766.04
nx-sc-sq,1,0.32,1,160334.4
nx-sc-sq,0.16,1,0.16,131958.8
nx-sc-sq,0.32,0.16,1,72136.73
nx-sc-sq,0.16,0.64,0.32,131736.01
nx-sc-sq,0.32,0.16,0.32,71331.87
nx-sc-sq,0.16,1,0.32,135816.17
nx-sc-sq,0.64,0.64,1,354184.48
nx-sc-sq,0.16,0.32,0.32,137788.85
nx-sc-sq,0.16,1,1,132760.62
nx-sc-sq,0.64,0.16,0.32,72140.55
nx-sc-sq,1,1,0.64,550379.44
nx-sc-sq,1,0.64,0.32,335960.98
nx-sc-sq,0.16,1,1,133843.16
nx-sc-sq,1,0.16,0.64,72435.77
nx-sc-sq,1,0.64,1,335139.89
nx-sc-sq,0.32,0.16,0.16,73556.82
nx-sc-sq,0.32,0.64,0.16,179758.29
nx-sc-sq,1,0.16,0.16,71131.12
nx-sc-sq,0.32,0.16,0.16,73359.79
nx-sc-sq,0.64,0.64,0.32,342558.55
nx-sc-sq,0.64,0.16,0.32,72445.79
nx-sc-sq,1,1,1,447014.84
nx-sc-sq,0.16,1,0.16,138726.41
nx-sc-sq,1,1,0.16,182318.85
nx-sc-sq,1,0.32,0.64,158867.06
nx-sc-sq,0.64,0.32,0.64,165144.78
nx-sc-sq,0.32,0.64,1,285294.24
nx-sc-sq,0.64,0.32,0.32,159407.53
nx-sc-sq,1,0.64,0.32,326635.14
nx-sc-sq,0.64,1,0.32,406775.39
nx-sc-sq,0.32,0.64,0.64,285752.92
nx-sc-sq,1,0.16,0.32,71847.36
nx-sc-sq,0.64,0.64,0.16,182827.56
nx-sc-sq,0.64,0.64,0.16,178911.16
nx-sc-sq,0.16,0.64,0.32,133835.89
nx-sc-sq,1,0.64,0.64,331625.09
nx-sc-sq,0.64,0.16,1,69816.99
nx-sc-sq,0.64,0.16,0.16,72246.02
nx-sc-sq,0.32,0.16,1,69578.93
nx-sc-sq,0.32,0.16,0.32,73448.84
nx-sc-sq,0.64,0.16,0.16,69702
nx-sc-sq,1,0.64,1,329105.11
nx-sc-sq,0.32,0.32,0.32,164172.41
nx-sc-sq,0.16,1,0.32,137133.38
nx-sc-sq,0.32,1,0.32,216151.62
nx-sc-sq,1,0.64,0.32,335648.32
nx-sc-sq,1,1,0.32,418372.94
nx-sc-sq,1,0.64,1,346676.34
nx-sc-sq,0.16,0.16,0.32,71755.59
nx-sc-sq,1,0.64,0.16,179431.42
nx-sc-sq,0.64,0.16,0.16,72149.72
sc-sq-nx,0.16,0.32,0.32,60208.26
sc-sq-nx,0.64,0.16,0.64,170490.76
sc-sq-nx,0.16,0.16,1,62328.05
sc-sq-nx,0.64,0.16,0.64,172459.57
sc-sq-nx,0.16,0.16,0.16,61698.23
sc-sq-nx,0.16,0.16,1,60363.95
sc-sq-nx,1,1,0.32,470430.1
sc-sq-nx,0.32,0.32,0.16,146376.59
sc-sq-nx,0.64,1,0.64,318315.64
sc-sq-nx,0.64,1,1,311492.64
sc-sq-nx,0.32,0.32,0.32,142197.3
sc-sq-nx,1,0.16,1,171860.64
sc-sq-nx,0.16,0.32,0.16,62442.5
sc-sq-nx,0.32,0.64,0.32,144372.67
sc-sq-nx,0.16,1,0.32,63292.21
sc-sq-nx,0.16,0.64,0.16,60055.23
sc-sq-nx,0.64,1,0.64,310335.45
sc-sq-nx,1,0.64,0.32,449748.47
sc-sq-nx,0.64,0.32,0.64,322451.47
sc-sq-nx,0.64,0.16,0.64,173042.54
sc-sq-nx,0.16,0.32,1,61151.1
sc-sq-nx,0.16,0.64,0.32,61705.88
sc-sq-nx,0.64,0.16,0.64,171322.64
sc-sq-nx,1,0.16,1,172718.01
sc-sq-nx,0.16,0.32,0.32,61432.87
sc-sq-nx,1,0.64,0.32,453056.94
sc-sq-nx,0.32,1,1,144557.27
sc-sq-nx,1,0.64,0.16,200736.56
sc-sq-nx,1,1,1,469676.29
sc-sq-nx,1,0.32,0.64,412949.12
sc-sq-nx,0.16,0.16,0.16,61517.78
sc-sq-nx,0.64,0.32,0.32,313656.71
sc-sq-nx,0.64,0.32,0.32,315355.92
sc-sq-nx,1,0.32,0.16,185482.21
sc-sq-nx,1,1,1,475058.18
sc-sq-nx,1,0.16,0.16,171424.83
sc-sq-nx,1,0.16,0.16,172454.11
sc-sq-nx,0.16,1,0.16,61364.14
sc-sq-nx,1,0.64,1,471387.11
sc-sq-nx,0.64,1,0.64,305921.15
sc-sq-nx,0.16,1,0.32,62169.75
sc-sq-nx,0.32,0.32,1,143922.77
sc-sq-nx,0.16,0.16,0.32,61171.04
sc-sq-nx,0.16,1,0.32,60912.41
sc-sq-nx,0.64,1,0.32,316115.13
sc-sq-nx,1,1,1,466549.5
sc-sq-nx,0.16,0.64,0.32,61888.3
sc-sq-nx,1,0.64,1,449612.84
sc-sq-nx,0.16,1,1,61514.59
sc-sq-nx,0.32,0.32,0.16,141519.71
sc-sq-nx,0.32,0.64,1,143041.97
sc-sq-nx,0.64,0.64,0.64,308399.65
sc-sq-nx,0.16,0.64,0.64,61697.7
sc-sq-nx,0.32,1,0.64,144765.25
sc-sq-nx,0.64,0.32,0.32,318318.78
sc-sq-nx,0.64,0.32,1,302107
sc-sq-nx,1,1,0.32,469991.99
sc-sq-nx,0.32,1,0.64,142154.91
sc-sq-nx,1,0.64,0.64,453435.53
sc-sq-nx,1,1,0.16,188910.58
sc-sq-nx,0.64,0.64,1,319611.58
sc-sq-nx,0.32,1,0.32,141349.97
sc-sq-nx,1,0.16,0.64,171129.62
sc-sq-nx,0.64,0.16,0.16,171135.61
sc-sq-nx,0.64,0.16,0.16,171941.35
sc-sq-nx,1,0.16,0.32,170269.1
sc-sq-nx,1,0.64,1,468772.85
sc-sq-nx,0.64,0.64,1,320716.75
sc-sq-nx,0.16,1,0.16,61008.74
sc-sq-nx,0.32,0.32,1,144808.05
sc-sq-nx,0.16,0.32,0.64,61982.92
sc-sq-nx,1,0.16,0.16,172160.52
sc-sq-nx,0.16,1,1,61599.53
sc-sq-nx,0.16,1,1,62910.8
sc-sq-nx,1,1,0.32,457967.78
sc-sq-nx,0.16,0.32,1,61612.69
sc-sq-nx,0.64,1,0.32,314736.15
sc-sq-nx,1,1,1,475511.19
sc-sq-nx,1,1,0.64,468409.02
sc-sq-nx,0.32,0.32,0.32,145923.76
sc-sq-nx,0.16,0.16,0.32,61617.46
sc-sq-nx,0.16,1,0.16,61813.83
sc-sq-nx,0.64,0.16,1,172735.61
sc-sq-nx,1,0.16,0.16,172529.61
sc-sq-nx,0.16,0.64,0.64,60454.3
sc-sq-nx,1,0.32,0.64,410735.2
sc-sq-nx,0.32,1,0.32,144605.12
sc-sq-nx,0.64,1,1,316061.6
sc-sq-nx,0.64,0.16,0.32,173363.18
sc-sq-nx,0.16,1,0.64,61882.04
sc-sq-nx,0.16,0.64,0.64,61169.11
sc-sq-nx,0.32,0.64,1,143452.67
sc-sq-nx,1,0.32,0.32,407647.77
sc-sq-nx,0.32,0.32,0.64,142373.28
sc-sq-nx,0.64,0.64,0.32,318304.63
sc-sq-nx,1,0.16,0.64,172493.61
sc-sq-nx,0.16,0.64,0.64,61427.72
sc-sq-nx,0.16,0.16,0.32,60633.27
sc-sq-nx,0.64,0.64,0.64,314168.12
sc-sq-nx,0.16,0.32,0.16,59941.96
sc-sq-nx,0.64,1,0.16,184609.58
sc-sq-nx,0.64,0.32,0.16,188549.5
sc-sq-nx,0.32,0.16,0.32,139887.18
sc-sq-nx,0.16,0.16,0.64,60029.61
sc-sq-nx,0.16,0.16,0.64,61348.62
sc-sq-nx,0.16,0.32,0.64,61246.64
sc-sq-nx,0.16,1,0.16,62728.86
sc-sq-nx,0.32,1,0.16,141706.64
sc-sq-nx,0.64,1,0.16,184148.56
sc-sq-nx,0.64,0.16,0.32,173681.3
sc-sq-nx,0.32,0.16,0.32,145686.28
sc-sq-nx,0.32,0.16,1,147022.54
sc-sq-nx,1,0.16,0.64,170477.68
sc-sq-nx,0.32,1,0.32,143688.53
sc-sq-nx,0.16,0.64,1,60025.04
sc-sq-nx,0.32,0.32,0.16,143933
sc-sq-nx,0.16,0.64,1,60802.78
sc-sq-nx,1,0.32,1,403054.05
sc-sq-nx,0.32,0.64,0.64,144563.48
sc-sq-nx,0.16,0.64,0.64,60721.83
sc-sq-nx,0.32,0.16,1,145421.02
sc-sq-nx,0.32,1,0.16,142831.61
sc-sq-nx,0.32,1,1,145027.05
sc-sq-nx,0.64,0.64,0.64,314042.95
sc-sq-nx,1,0.32,1,405843.34
sc-sq-nx,1,0.64,0.64,475499.34
sc-sq-nx,1,0.32,0.16,190760.07
sc-sq-nx,0.64,1,1,319884.82
sc-sq-nx,0.32,0.16,0.16,146119.69
sc-sq-nx,0.16,1,0.16,60821.05
sc-sq-nx,1,1,0.64,470586.14
sc-sq-nx,0.32,0.16,0.32,143471.53
sc-sq-nx,1,0.16,0.64,170551.19
sc-sq-nx,0.32,0.64,1,140441.37
sc-sq-nx,0.64,0.32,1,316784.42
sc-sq-nx,0.32,1,1,143873.84
sc-sq-nx,0.32,0.16,0.16,146318.1
sc-sq-nx,0.32,0.64,0.32,143244.59
sc-sq-nx,0.32,1,0.64,145220.13
sc-sq-nx,0.32,0.32,0.64,144319.55
sc-sq-nx,0.32,0.64,0.16,146164.89
sc-sq-nx,0.16,0.32,0.64,60636.5
sc-sq-nx,0.64,0.32,0.64,316759.04
sc-sq-nx,0.32,0.64,0.16,145933.05
sc-sq-nx,0.16,0.32,0.64,60634.47
sc-sq-nx,0.16,1,0.32,62256.73
sc-sq-nx,0.32,1,1,145857.93
sc-sq-nx,0.16,0.64,0.32,61175.8
sc-sq-nx,1,0.16,1,173981.48
sc-sq-nx,0.16,0.32,1,60281.85
sc-sq-nx,0.32,0.64,0.32,145468.44
sc-sq-nx,0.64,0.64,0.64,317348.3
sc-sq-nx,0.16,0.64,1,61785.38
sc-sq-nx,0.64,1,1,314660.08
sc-sq-nx,0.64,0.32,0.32,314828.45
sc-sq-nx,1,0.64,1,463207.71
sc-sq-nx,0.32,0.16,0.16,140898.7
sc-sq-nx,0.64,0.16,1,170815.81
sc-sq-nx,0.64,0.64,0.32,300894.54
sc-sq-nx,0.32,0.16,0.32,145874.72
sc-sq-nx,0.32,0.32,1,142169.03
sc-sq-nx,0.16,0.32,0.16,59946.49
sc-sq-nx,0.16,0.16,1,60630.43
sc-sq-nx,0.32,0.16,0.64,142172.51
sc-sq-nx,0.16,0.64,0.64,61069.28
sc-sq-nx,0.16,0.16,1,61344.09
sc-sq-nx,0.64,0.64,0.64,317385.15
sc-sq-nx,0.64,0.16,0.16,170276.13
sc-sq-nx,0.16,0.64,1,61522.91
sc-sq-nx,1,0.32,0.16,190503.65
sc-sq-nx,0.16,0.64,0.32,61705.69
sc-sq-nx,1,0.16,1,172179
sc-sq-nx,0.32,0.16,0.32,144345.42
sc-sq-nx,0.16,1,1,60537.99
sc-sq-nx,0.64,0.16,0.64,171617.45
sc-sq-nx,0.32,1,0.16,143285.78
sc-sq-nx,0.16,0.16,0.64,61166.96
sc-sq-nx,0.32,1,0.16,143031.76
sc-sq-nx,0.32,0.64,1,145624.33
sc-sq-nx,0.64,1,0.32,315903.28
sc-sq-nx,1,0.16,1,176109.95
sc-sq-nx,0.16,1,0.16,60814.86
sc-sq-nx,0.16,0.64,0.16,61174.98
sc-sq-nx,0.32,0.64,0.32,140505.99
sc-sq-nx,0.64,0.64,0.16,187019.7
sc-sq-nx,0.64,0.16,0.16,171161.64
sc-sq-nx,0.16,0.64,1,62338.84
sc-sq-nx,0.32,1,0.16,141089.59
sc-sq-nx,0.32,0.32,0.32,144575.39
sc-sq-nx,0.16,0.64,0.64,61880.38
sc-sq-nx,1,1,0.32,476410.2
sc-sq-nx,0.32,0.64,0.64,142564.67
sc-sq-nx,0.32,0.16,1,141271.99
sc-sq-nx,0.16,0.16,1,60896.6
sc-sq-nx,0.16,0.64,0.16,62069.23
sc-sq-nx,1,0.64,0.16,192749.12
sc-sq-nx,0.32,1,0.16,143043.33
sc-sq-nx,0.16,0.16,0.16,61262.59
sc-sq-nx,0.32,0.16,0.32,141082.67
sc-sq-nx,0.64,0.32,1,310323.93
sc-sq-nx,0.16,0.32,0.32,61256.61
sc-sq-nx,0.16,0.16,0.16,62258.47
sc-sq-nx,0.64,1,1,311930.03
sc-sq-nx,0.32,0.32,0.64,143436.15
sc-sq-nx,0.32,0.32,0.16,144858.19
sc-sq-nx,1,0.16,0.32,172212
sc-sq-nx,0.16,1,0.64,61885.09
sc-sq-nx,0.16,1,1,61078.41
sc-sq-nx,0.64,0.64,0.16,187940.25
sc-sq-nx,0.16,1,0.32,61254.17
sc-sq-nx,1,0.16,0.16,170234.86
sc-sq-nx,0.64,0.32,0.32,320419.76
sc-sq-nx,0.64,1,0.32,307816.35
sc-sq-nx,0.32,0.16,0.32,145450.51
sc-sq-nx,0.32,0.64,1,143448.61
sc-sq-nx,1,0.32,0.64,396453.21
sc-sq-nx,1,0.32,0.64,403884.86
sc-sq-nx,1,0.16,1,171571.48
sc-sq-nx,0.16,0.16,0.32,61899.9
sc-sq-nx,0.32,0.32,0.64,142586.76
sc-sq-nx,0.64,0.16,0.32,173911.19
sc-sq-nx,0.32,0.32,1,146307.48
sc-sq-nx,1,0.32,0.64,404278.78
sc-sq-nx,0.32,0.32,1,142373.91
sc-sq-nx,0.16,0.64,1,60448.37
sc-sq-nx,0.32,0.32,0.64,144109.16
sc-sq-nx,0.64,1,0.64,316841.47
sc-sq-nx,0.16,0.16,0.16,61831.76
sc-sq-nx,1,0.16,1,175094.75
sc-sq-nx,1,1,0.16,188535.22
sc-sq-nx,1,0.64,0.16,192819.14
sc-sq-nx,1,0.32,0.32,392222.88
sc-sq-nx,0.16,0.32,0.32,61085.83
sc-sq-nx,0.16,0.32,0.16,59880.54
sc-sq-nx,0.64,0.64,0.64,313844.43
sc-sq-nx,0.64,0.64,0.64,311009
sc-sq-nx,1,0.64,0.64,474848.62
sc-sq-nx,0.32,1,0.64,144334.55
sc-sq-nx,0.32,0.16,0.32,143714.15
sc-sq-nx,0.64,0.16,0.32,174525.25
sc-sq-nx,0.32,0.32,0.32,143922.17
sc-sq-nx,0.64,0.16,1,170249.85
sc-sq-nx,0.32,0.32,0.32,143430.34
sc-sq-nx,1,1,0.64,457405.22
sc-sq-nx,0.64,0.32,0.64,309397.48
sc-sq-nx,1,1,0.32,454291.81
sc-sq-nx,1,1,0.32,461181.1
sc-sq-nx,0.64,0.64,1,313583.06
sc-sq-nx,0.64,1,0.32,311412.79
sc-sq-nx,0.64,0.32,1,312507.2
sc-sq-nx,0.32,0.16,1,142330.73
sc-sq-nx,1,0.64,0.32,471651.92
sc-sq-nx,0.16,0.64,0.16,61197.71
sc-sq-nx,0.64,0.32,0.32,304348.61
sc-sq-nx,0.16,1,0.32,61356.05
sc-sq-nx,0.32,0.32,0.64,143018.87
sc-sq-nx,0.16,0.64,0.64,60277.48
sc-sq-nx,1,1,1,485201.25
sc-sq-nx,0.32,0.64,0.64,141742.71
sc-sq-nx,1,0.32,0.16,193960.46
sc-sq-nx,0.16,0.32,1,61969.77
sc-sq-nx,1,1,0.64,458364.51
sc-sq-nx,0.32,0.16,0.64,143445.87
sc-sq-nx,0.16,0.32,0.32,61623.95
sc-sq-nx,1,0.16,1,173231.98
sc-sq-nx,0.32,1,1,143872.3
sc-sq-nx,0.16,0.64,0.32,60635.35
sc-sq-nx,1,0.32,0.32,395828.36
sc-sq-nx,0.32,0.64,1,147458.39
sc-sq-nx,1,0.64,1,473786.85
sc-sq-nx,0.16,0.64,0.64,60626.32
sc-sq-nx,1,0.32,1,407380.63
sc-sq-nx,1,0.64,0.32,462959.97
sc-sq-nx,0.64,0.64,1,313942.31
sc-sq-nx,0.32,1,0.32,146360.81
sc-sq-nx,1,0.16,1,172454.75
sc-sq-nx,1,1,0.16,187973.42
sc-sq-nx,1,0.32,0.16,204001.89
sc-sq-nx,0.64,0.16,0.16,171915.49
sc-sq-nx,0.64,0.32,0.32,313708.7
sc-sq-nx,1,0.64,0.32,464350.12
sc-sq-nx,0.64,0.64,0.32,309823.28
sc-sq-nx,0.64,0.64,0.64,315167.21
sc-sq-nx,0.16,0.32,0.64,60449.72
sc-sq-nx,0.64,0.32,0.16,186937.09
sc-sq-nx,0.64,0.32,0.64,315097.56
sc-sq-nx,0.16,0.64,0.32,60118.36
sc-sq-nx,0.32,1,0.32,143698.61
sc-sq-nx,0.16,0.16,1,61884.66
sc-sq-nx,1,0.16,0.32,172172.23
sc-sq-nx,0.64,0.32,1,315301.17
sc-sq-nx,1,1,0.64,461327.41
sc-sq-nx,1,0.32,0.64,413531.12
sc-sq-nx,0.64,0.64,0.32,312116.45
sc-sq-nx,0.32,1,0.64,146544.45
sc-sq-nx,0.32,0.16,1,140895.68
sc-sq-nx,1,0.16,0.64,170847.05
sc-sq-nx,0.32,0.32,0.16,144620.64
sc-sq-nx,0.32,0.64,0.32,142380.14
sc-sq-nx,0.64,0.64,1,318677.55
sc-sq-nx,0.64,1,1,310278.22
sc-sq-nx,1,0.64,0.16,187363.35
sc-sq-nx,0.64,1,0.64,314478.45
sc-sq-nx,0.64,0.16,0.32,173893.38
sc-sq-nx,1,0.64,0.16,196166.34
sc-sq-nx,0.64,0.32,1,317366.55
sc-sq-nx,0.32,1,0.64,142778.63
sc-sq-nx,1,0.32,1,405743.26
sc-sq-nx,0.64,0.64,0.16,194521.69
sc-sq-nx,0.64,0.16,0.16,173611.36
sc-sq-nx,0.32,0.64,0.32,143650.23
sc-sq-nx,0.64,0.64,0.32,311579.95
sc-sq-nx,0.16,0.16,0.64,60462.25
sc-sq-nx,0.32,0.32,1,145425.76
sc-sq-nx,0.64,1,0.32,314782.22
sc-sq-nx,0.32,0.64,0.16,143915.59
sc-sq-nx,0.16,0.64,0.16,60402.57
sc-sq-nx,0.32,0.32,0.32,141947.93
sc-sq-nx,0.32,0.32,0.32,143061.33
sc-sq-nx,0.32,1,1,141509.24
sc-sq-nx,1,0.64,1,453180.2
sc-sq-nx,1,0.64,0.16,186127.47
sc-sq-nx,0.32,0.32,0.64,141282
sc-sq-nx,1,0.32,1,400906.93
sc-sq-nx,0.16,0.16,0.64,60988.54
sc-sq-nx,0.32,0.32,0.64,144362.2
sc-sq-nx,0.16,1,1,61969.93
sc-sq-nx,0.32,0.16,0.16,139401.04
sc-sq-nx,0.16,1,1,60887.23
sc-sq-nx,0.64,0.64,0.32,317278.45
sc-sq-nx,0.32,0.64,0.64,147451.27
sc-sq-nx,0.32,0.32,0.64,143004.98
sc-sq-nx,1,1,1,475588.74
sc-sq-nx,1,0.32,0.32,391057.57
sc-sq-nx,0.64,0.16,1,171656.21
sc-sq-nx,0.32,1,0.16,140704.22
sc-sq-nx,1,0.32,0.16,186076.47
sc-sq-nx,0.32,0.32,0.32,145212.12
sc-sq-nx,0.16,0.32,0.16,60641.75
sc-sq-nx,1,0.32,0.32,390711.59
sc-sq-nx,0.16,0.64,1,62075.67
sc-sq-nx,1,0.16,0.64,173616.24
sc-sq-nx,0.32,0.32,1,141293.81
sc-sq-nx,1,1,0.64,469793.46
sc-sq-nx,0.16,0.32,0.64,59852.41
sc-sq-nx,0.64,1,0.16,183813.15
sc-sq-nx,1,0.16,0.32,170007.78
sc-sq-nx,0.64,0.64,0.16,185860.69
sc-sq-nx,1,0.16,0.32,170759.83
sc-sq-nx,1,1,0.32,450585.51
sc-sq-nx,0.64,0.64,0.32,304868.59
sc-sq-nx,0.64,0.32,0.32,305514.31
sc-sq-nx,1,0.32,1,404435.08
sc-sq-nx,0.32,0.16,0.64,147252.37
sc-sq-nx,0.16,0.16,1,61078.21
sc-sq-nx,0.16,0.64,0.32,60458.59
sc-sq-nx,0.16,1,0.32,61979.29
sc-sq-nx,0.16,1,1,61419.97
sc-sq-nx,1,0.64,0.16,193176.31
sc-sq-nx,0.64,0.16,1,172216.84
sc-sq-nx,0.64,0.32,0.64,320680.33
sc-sq-nx,1,1,1,471786.66
sc-sq-nx,0.32,1,1,139359.07
sc-sq-nx,1,0.64,0.16,190710.56
sc-sq-nx,0.64,0.64,1,316373.4
sc-sq-nx,0.64,0.32,0.16,184019.64
sc-sq-nx,0.16,0.32,0.16,61891.5
sc-sq-nx,1,1,1,466967.45
sc-sq-nx,1,1,0.16,161856.35
sc-sq-nx,0.16,0.64,0.32,61981.51
sc-sq-nx,0.32,0.64,0.64,141068.02
sc-sq-nx,1,0.16,0.64,174817.91
sc-sq-nx,0.16,0.32,1,61374.3
sc-sq-nx,0.16,0.32,0.64,59096.74
sc-sq-nx,0.16,0.16,0.16,61164.85
sc-sq-nx,1,1,0.16,188465.42
sc-sq-nx,0.16,0.64,0.32,61714.69
sc-sq-nx,0.16,0.32,1,61253.44
sc-sq-nx,0.32,1,0.32,147991.99
sc-sq-nx,0.32,0.16,1,142353.54
sc-sq-nx,0.32,0.64,1,144321.7
sc-sq-nx,0.64,1,1,319635.01
sc-sq-nx,0.64,0.16,0.32,173042.35
sc-sq-nx,0.32,0.16,1,143015.34
sc-sq-nx,0.16,0.32,0.32,60468.04
sc-sq-nx,0.64,0.64,0.32,305590.71
sc-sq-nx,0.32,0.64,0.16,143271.52
sc-sq-nx,0.64,0.32,0.16,191825.53
sc-sq-nx,1,0.64,0.64,476399.59
sc-sq-nx,0.64,1,0.16,195455.98
sc-sq-nx,0.64,0.32,1,314591.09
sc-sq-nx,0.16,0.16,0.32,59950.29
sc-sq-nx,0.64,0.16,1,173290.41
sc-sq-nx,1,0.64,1,457824.15
sc-sq-nx,0.32,0.64,0.16,139874.89
sc-sq-nx,1,1,0.64,464704.05
sc-sq-nx,0.64,1,0.16,189809.49
sc-sq-nx,0.64,0.16,0.64,171650.57
sc-sq-nx,0.16,0.32,0.32,61354.29
sc-sq-nx,1,0.64,1,476806.96
sc-sq-nx,0.64,1,0.16,194311.06
sc-sq-nx,1,0.32,0.32,404264.93
sc-sq-nx,0.64,0.16,0.32,172222.52
sc-sq-nx,0.64,0.64,0.32,311959.9
sc-sq-nx,1,0.32,1,403858.59
sc-sq-nx,1,0.64,0.32,439117.04
sc-sq-nx,1,0.32,0.16,190068.63
sc-sq-nx,0.32,0.32,0.64,143482.28
sc-sq-nx,0.16,1,0.64,61251.64
sc-sq-nx,0.64,0.64,1,318116.29
sc-sq-nx,0.32,0.32,0.32,141330.95
sc-sq-nx,1,0.16,0.16,172014.15
sc-sq-nx,0.64,0.32,0.16,190337.46
sc-sq-nx,0.64,1,0.64,306936.69
sc-sq-nx,0.32,0.64,0.16,145503.44
sc-sq-nx,1,0.64,0.32,466892.48
sc-sq-nx,0.32,0.16,0.16,139664.76
sc-sq-nx,0.16,1,0.32,59273.04
sc-sq-nx,0.16,1,0.64,61884.93
sc-sq-nx,0.16,1,0.64,61342.48
sc-sq-nx,1,0.32,0.16,188555.47
sc-sq-nx,1,1,0.32,452097.43
sc-sq-nx,0.16,0.64,1,62340.32
sc-sq-nx,0.16,0.16,0.16,60115.54
sc-sq-nx,0.32,0.16,0.16,141311.87
sc-sq-nx,0.64,0.64,1,310398.65
sc-sq-nx,0.16,0.64,0.16,60652.06
sc-sq-nx,0.32,0.16,0.64,145212.78
sc-sq-nx,0.64,0.64,0.16,183997.6
sc-sq-nx,0.32,0.32,0.16,144108.3
sc-sq-nx,0.16,0.32,1,61597.02
sc-sq-nx,1,0.32,0.64,407544.04
sc-sq-nx,0.32,0.16,0.16,142833.75
sc-sq-nx,1,0.16,0.16,171939.63
sc-sq-nx,0.64,0.32,1,316088.52
sc-sq-nx,0.16,0.32,0.32,61713.28
sc-sq-nx,0.64,0.32,0.16,196057.49
sc-sq-nx,1,0.16,0.64,173871.17
sc-sq-nx,0.32,0.64,0.16,142876.39
sc-sq-nx,0.32,0.64,0.64,141934.65
sc-sq-nx,0.64,0.32,0.64,309374.68
sc-sq-nx,1,1,0.16,186388.15
sc-sq-nx,0.64,0.32,0.64,310474.72
sc-sq-nx,0.16,0.32,0.16,60920.14
sc-sq-nx,0.32,0.16,0.16,142624.08
sc-sq-nx,0.32,0.64,0.64,143468.74
sc-sq-nx,0.32,0.64,1,140228.15
sc-sq-nx,1,0.64,0.32,447869.04
sc-sq-nx,0.32,0.32,0.16,144339.5
sc-sq-nx,0.32,0.64,0.32,141291.33
sc-sq-nx,0.64,0.16,0.64,172496.79
sc-sq-nx,0.16,0.16,0.16,61443.92
sc-sq-nx,0.64,0.32,0.16,187777.36
sc-sq-nx,0.16,0.32,1,60715.14
sc-sq-nx,0.16,1,0.64,61511.98
sc-sq-nx,0.64,0.32,0.16,191596.44
sc-sq-nx,0.16,0.32,0.32,60903.9
sc-sq-nx,0.64,0.64,0.64,310482.21
sc-sq-nx,1,0.32,1,399225.91
sc-sq-nx,0.32,1,1,141283.13
sc-sq-nx,0.32,0.32,1,144110.91
sc-sq-nx,0.64,0.64,1,308317.22
sc-sq-nx,0.32,1,0.32,144817.21
sc-sq-nx,0.32,1,0.64,143229.99
sc-sq-nx,0.16,0.32,0.32,61256.31
sc-sq-nx,0.16,0.16,0.32,62250.12
sc-sq-nx,0.32,0.32,0.16,144373.08
sc-sq-nx,0.32,0.32,0.16,144159.56
sc-sq-nx,1,0.64,0.32,444478.19
sc-sq-nx,1,1,0.16,159652.85
sc-sq-nx,0.32,1,0.64,141967.36
sc-sq-nx,0.16,0.16,0.64,61338.82
sc-sq-nx,0.16,0.16,0.64,61070.79
sc-sq-nx,1,0.16,1,173972.35
sc-sq-nx,1,0.64,0.64,478264.37
sc-sq-nx,1,0.32,0.64,402800.71
sc-sq-nx,0.64,0.32,0.16,186708.02
sc-sq-nx,0.64,0.16,0.64,177978.32
sc-sq-nx,1,0.16,0.32,173399.27
sc-sq-nx,0.16,0.64,0.16,61529.55
sc-sq-nx,0.32,0.16,0.64,145453.67
sc-sq-nx,0.16,0.64,0.16,60717.39
sc-sq-nx,1,0.64,0.16,186155.54
sc-sq-nx,0.64,0.16,1,173010.7
sc-sq-nx,0.32,0.64,0.32,141532.15
sc-sq-nx,0.64,0.16,0.64,173334.64
sc-sq-nx,0.32,0.64,0.32,143054.8
sc-sq-nx,1,0.16,0.32,172201.77
sc-sq-nx,0.64,0.32,1,313008.86
sc-sq-nx,1,0.16,0.16,169750.29
sc-sq-nx,0.64,1,0.64,313441.74
sc-sq-nx,1,0.64,0.64,461797.94
sc-sq-nx,0.64,0.64,0.16,189844.49
