,CPU,throughput
275,0.4,1236.03
276,0.4,1238.7
277,0.4,1230.25
278,0.4,1224.53
279,0.4,1239.19
280,0.4,1229.05
281,0.4,1250.09
282,0.4,1249.05
283,0.4,1241.4
284,0.4,1238.14
285,0.4,1240.64
286,0.4,1232.57
287,0.4,1218.37
288,0.4,1249.82
289,0.4,1208.85
290,0.4,1241.7
291,0.4,1244.14
292,0.4,1252.82
293,0.4,1239.02
294,0.4,1253.17
295,0.4,1247.36
296,0.4,1240.72
297,0.4,1256.55
298,0.4,1247.32
299,0.4,1234.77
300,0.4,1238.61
301,0.4,1221.96
302,0.4,1279.97
303,0.4,1244.3
304,0.4,1201.77
305,0.4,1222.41
306,0.4,1218.51
307,0.4,1234.12
308,0.4,1233.83
309,0.4,1235.06
310,0.4,1230.84
311,0.4,1242.89
312,0.4,1218.53
313,0.4,1234.61
314,0.4,1244.91
315,0.4,1240.84
316,0.4,1240.76
317,0.4,1246.16
318,0.4,1251.52
319,0.4,1248.64
320,0.5,1554.1
321,0.5,1560.78
322,0.5,1527.2
323,0.5,1579.77
324,0.5,1578.44
325,0.5,1574.48
326,0.5,1538.7
327,0.5,1569.06
328,0.5,1568.82
329,0.5,1573.05
330,0.5,1586.88
331,0.5,1538.6
332,0.5,1536.93
333,0.5,1576.03
334,0.5,1597.22
335,0.5,1552.55
336,0.5,1547.55
337,0.5,1586.29
338,0.5,1599.71
339,0.5,1583.54
340,0.5,1570.79
341,0.5,1548.51
342,0.5,1582.22
343,0.5,1593.12
344,0.5,1578.08
345,0.5,1546.06
346,0.5,1520.12
347,0.5,1533.09
348,0.5,1583.83
349,0.5,1549.32
350,0.5,1599.6
351,0.5,1515.93
352,0.5,1508.74
353,0.5,1513.42
354,0.5,1498.35
355,0.5,1573.26
356,0.5,1545.89
357,0.5,1569.92
358,0.5,1494.98
359,0.5,1533.36
360,0.5,1607.53
361,0.5,1570.05
362,0.5,1570.46
363,0.5,1581.11
364,0.5,1602.45
365,0.5,1572.27
366,0.5,1583.96
367,0.5,1569.59
368,0.5,1583.6
369,0.5,1618.26
370,0.5,1556.6
371,0.5,1594.09
372,0.5,1575.13
373,0.5,1566.69
374,0.5,1559.68
375,0.5,1574.62
376,0.5,1596.91
377,0.5,1545.8
378,0.5,1544.59
379,0.5,1543.42
380,0.5,1593.49
381,0.5,1565.55
382,0.5,1560.87
383,0.5,1593.01
384,0.5,1569.77
385,0.5,1542.95
386,0.5,1597.99
387,0.5,1608.15
388,0.5,1596.6
389,0.5,1581.46
390,0.5,1598.29
391,0.5,1582.83
392,0.5,1564.64
393,0.5,1562.01
394,0.5,1579.55
395,0.5,1623.39
396,0.5,1580.29
397,0.5,1549.95
398,0.5,1587.08
399,0.5,1591.44
400,0.6,1912.41
401,0.6,1932.61
402,0.6,1850.62
403,0.6,1929.81
404,0.6,1820.08
405,0.6,1893.09
406,0.6,1902.93
407,0.6,1898.6
