,CPU,throughput
254,0.4,604351.58
255,0.4,596313.26
256,0.4,594780.2
257,0.4,596565.45
258,0.4,599641.84
259,0.4,593308.63
260,0.4,594480.88
261,0.4,599049.74
262,0.4,600861.87
263,0.4,588878.83
264,0.4,595934.58
265,0.4,593769.01
266,0.4,598192.29
267,0.4,596078.14
268,0.4,590070.54
269,0.4,594754.61
270,0.4,605348.41
271,0.4,599467.08
272,0.4,595698.26
273,0.4,595893.72
274,0.4,600592.49
275,0.4,602552.23
276,0.4,595720.96
277,0.4,598564.07
278,0.4,593423.99
279,0.4,593425.38
280,0.4,605488.88
281,0.4,605105.8
282,0.4,604738.81
283,0.4,593907.6
284,0.4,590557.73
285,0.4,600474.67
286,0.4,595447.85
287,0.4,598778.72
288,0.4,593893.79
289,0.4,593726.84
290,0.4,595868.75
291,0.4,593538.3
292,0.4,593877.57
293,0.4,594434.9
294,0.4,599681.42
295,0.4,598267.79
296,0.4,599725.5
297,0.4,600238.8
298,0.4,603017.68
299,0.4,595092.67
300,0.4,604040.71
301,0.4,603807.86
302,0.4,605605.1
303,0.4,595041.87
304,0.4,601599.47
305,0.4,596469.62
306,0.4,601001.61
307,0.4,594993.68
308,0.4,594805.4
309,0.4,599872.14
310,0.4,605145.77
311,0.4,604862.93
312,0.4,602774.09
313,0.4,599218.96
314,0.4,605621.26
315,0.4,594839.68
316,0.4,594726.24
317,0.4,605443.91
318,0.4,594843.12
319,0.4,599612.62
320,0.5,755132.4
321,0.5,764918.83
322,0.5,756374.91
323,0.5,764388.31
324,0.5,754935.62
325,0.5,756080.87
326,0.5,745266.67
327,0.5,756143.9
328,0.5,745824.04
329,0.5,758618.35
330,0.5,766887.5
331,0.5,765011.53
332,0.5,755893.66
333,0.5,759647.84
334,0.5,761419.44
335,0.5,762606.16
336,0.5,763643.76
337,0.5,756360.81
338,0.5,750236.91
339,0.5,766374.25
340,0.5,760440.01
341,0.5,756188.1
342,0.5,753580.38
343,0.5,755400.11
344,0.5,756147.14
345,0.5,755764.83
