,CPU,throughput
253,0.4,157628.8
254,0.4,157704.76
255,0.4,159296.69
256,0.4,157304.63
257,0.4,157740.92
258,0.4,155989.47
259,0.4,154690.72
260,0.4,157869.1
261,0.4,158487.91
262,0.4,155142.91
263,0.4,158834.04
264,0.4,158012.3
265,0.4,155416.04
266,0.4,156475.67
267,0.4,152333.66
268,0.4,154891.1
269,0.4,157573.17
270,0.4,160745.89
271,0.4,154900.38
272,0.4,155711.9
273,0.4,158299.92
274,0.4,158153.6
275,0.4,157955.08
276,0.4,152630.09
277,0.4,156596.12
278,0.4,157824.84
279,0.4,158391.11
280,0.4,157367.86
281,0.4,150706.09
282,0.4,155092.99
283,0.4,153841.26
284,0.4,156339.77
285,0.4,153995.57
286,0.4,157801.56
287,0.4,157129.24
288,0.4,155916.05
289,0.4,154052.28
290,0.4,156784.62
291,0.4,157814.37
292,0.4,160400.2
293,0.4,155327.32
294,0.4,155212.62
295,0.4,156082.83
296,0.4,156840.87
297,0.4,155088.47
298,0.4,157875.47
299,0.4,159453.36
300,0.4,157182.44
301,0.4,155105.27
302,0.4,157716.77
303,0.4,155122.2
304,0.4,152725.57
305,0.4,155240.33
306,0.4,157643.39
307,0.4,158097.75
308,0.4,158450.42
309,0.4,154276.99
310,0.4,154819.39
311,0.4,160350.12
312,0.4,156277.05
313,0.4,155815.53
314,0.4,153014.52
315,0.4,158333.35
316,0.4,159814.58
317,0.4,160206.67
318,0.4,160073.66
319,0.4,158144.22
320,0.5,200661.08
321,0.5,200138.97
322,0.5,197010.15
323,0.5,201341.04
324,0.5,201580.89
325,0.5,200229.75
326,0.5,201038.47
327,0.5,200014.6
328,0.5,196733.56
329,0.5,199547.52
330,0.5,198728.22
331,0.5,200887.61
332,0.5,198628.76
333,0.5,200043.14
334,0.5,199385.92
335,0.5,197502.62
336,0.5,200904.19
337,0.5,199348.66
338,0.5,200480.71
339,0.5,198852.35
340,0.5,194799.51
341,0.5,199624.36
342,0.5,195415.68
343,0.5,193893.88
344,0.5,198163.4
345,0.5,194805.88
346,0.5,197094.85
347,0.5,201268.86
348,0.5,201963.81
349,0.5,197893.14
350,0.5,196460.23
351,0.5,201059.18
352,0.5,196766.42
353,0.5,198679.93
354,0.5,191577.09
355,0.5,200572.11
356,0.5,200833.74
357,0.5,194782.7
358,0.5,196920.02
359,0.5,197825.63
360,0.5,196127.27
361,0.5,196874.11
362,0.5,196245.11
363,0.5,198620.89
364,0.5,197660.6
365,0.5,198898.72
366,0.5,196313.06
367,0.5,199801.44
368,0.5,198939.57
369,0.5,200897.39
370,0.5,200935.17
371,0.5,197405.73
372,0.5,197938.01
373,0.5,200630.65
374,0.5,201846.78
375,0.5,198451.25
376,0.5,199018.8
377,0.5,197073.52
378,0.5,199467.82
379,0.5,199815.52
380,0.5,199850.98
381,0.5,199972.14
382,0.5,198825.92
383,0.5,205634.4
384,0.5,198565.67
385,0.5,199056.58
386,0.5,196853.33
387,0.5,196540.37
388,0.5,199851.62
389,0.5,197581.68
390,0.5,198852.69
391,0.5,198592.9
392,0.5,201096.92
393,0.5,203266.23
394,0.5,193661.3
395,0.5,196625.26
396,0.5,196764.25
397,0.5,199450.38
398,0.5,201679.4
399,0.5,194713.59
400,0.6,246023.2
401,0.6,238956.33
402,0.6,240350.96
403,0.6,242481.88
404,0.6,241285.05
405,0.6,243036.59
406,0.6,237741.76
407,0.6,245678.62
408,0.6,237035.87
409,0.6,238274.17
410,0.6,239580.06
411,0.6,246100.76
412,0.6,237226.8
413,0.6,240455.99
414,0.6,243367.32
415,0.6,238900.01
416,0.6,240139.63
417,0.6,243480.89
418,0.6,240497.84
419,0.6,243385.09
420,0.6,244253.4
421,0.6,239797.49
422,0.6,239034.18
423,0.6,243460.86
424,0.6,236838.56
425,0.6,244253.23
426,0.6,240537.09
427,0.6,242705.8
428,0.6,244381.3
429,0.6,240442.68
430,0.6,242326.1
431,0.6,238054.67
432,0.6,241399.46
433,0.6,240402.87
434,0.6,239644.07
435,0.6,236265.07
436,0.6,237552.54
437,0.6,240778.02
438,0.6,241402.28
439,0.6,239142.68
440,0.6,240921.83
441,0.6,237864.58
442,0.6,237286.04
443,0.6,242053.41
444,0.6,239546.92
445,0.6,239937.93
446,0.6,240634.42
447,0.6,239251.56
448,0.6,234415.1
449,0.6,239976.13
450,0.6,240853.84
451,0.6,241789.4
452,0.6,243473.27
453,0.6,242723.86
454,0.6,247253.53
455,0.6,239490.81
456,0.6,239478.16
457,0.6,242433.07
458,0.6,242414.17
459,0.6,240396.64
460,0.6,245128.19
461,0.6,243297.78
462,0.6,242879.61
463,0.6,238002.67
464,0.6,237463.52
465,0.6,239727.59
466,0.6,242437.27
467,0.6,240610.35
468,0.6,237882.59
469,0.6,239863.17
470,0.6,239565.21
471,0.6,242837.75
472,0.6,242561.08
473,0.6,243340.76
474,0.6,239391.12
475,0.6,242279.35
476,0.6,241874.03
477,0.6,245656.38
478,0.6,240649.7
479,0.6,239886.83
480,0.7,277812.21
481,0.7,282789.79
482,0.7,280217.46
483,0.7,284211.27
484,0.7,287638.27
485,0.7,282996.01
486,0.7,278879.99
487,0.7,284185.44
488,0.7,284678.02
489,0.7,288948.31
490,0.7,286892.39
491,0.7,279745.2
492,0.7,285923.35
493,0.7,284127.28
494,0.7,287845.77
495,0.7,290474.03
496,0.7,288192.57
497,0.7,282260.47
498,0.7,284837.65
499,0.7,281526.51
500,0.7,282048.25
501,0.7,281189.29
502,0.7,283223.18
503,0.7,287226.25
504,0.7,281000.37
505,0.7,282228.63
506,0.7,282629.21
507,0.7,282838.1
508,0.7,286687.07
509,0.7,277959.85
510,0.7,282790.44
511,0.7,279596.92
512,0.7,287754.36
513,0.7,283871.18
514,0.7,284749.61
515,0.7,282680.86
516,0.7,280659.39
517,0.7,285238.41
518,0.7,275165.83
519,0.7,281159.09
520,0.7,282618.35
521,0.7,280102.91
522,0.7,282422.57
523,0.7,278817.97
524,0.7,282973.53
525,0.7,285816.86
526,0.7,278360.76
527,0.7,280950.29
528,0.7,282230.83
529,0.7,286650.49
530,0.7,283046.34
531,0.7,286389.3
532,0.7,283065.27
533,0.7,284610.8
534,0.7,286382.6
535,0.7,287750.3
536,0.7,279104.74
537,0.7,291620.29
538,0.7,284075.09
539,0.7,279562.92
540,0.7,283441.85
541,0.7,291518.81
542,0.7,282743.89
543,0.7,286445.38
544,0.7,288406.46
545,0.7,284625.08
546,0.7,277172.53
547,0.7,285748.03
548,0.7,283371.96
549,0.7,284236.81
550,0.7,285703.19
551,0.7,285793.36
552,0.7,283626.43
553,0.7,279603.86
554,0.7,285640.18
555,0.7,283929.92
556,0.7,282812.25
557,0.7,282505.03
558,0.7,282327.14
559,0.7,287208.46
560,0.8,323379.45
561,0.8,327771.53
562,0.8,323546.1
563,0.8,328074.19
564,0.8,325132.5
565,0.8,324535.96
566,0.8,316366.75
567,0.8,326717.19
568,0.8,331713.58
569,0.8,318571.66
570,0.8,322513.63
571,0.8,325624.49
572,0.8,321091.68
573,0.8,330522.71
574,0.8,326277.65
575,0.8,328623.02
576,0.8,320314.59
577,0.8,334582.54
578,0.8,323349.94
579,0.8,324735.11
